Name,ID,SMILES,inchi,LogS
glycidylaldehyde,,O=CC1CO1,IWYRWIUNAVNFPE-UHFFFAOYSA-N,1.1423
isopropenyl methyl ether,,COC(C)=C,YOWQWFMSQCOSBA-UHFFFAOYSA-N,1.142
"N,N-dimethylformamide",,CN(C)C=O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,1.13611233
N-methylacetamide,,CNC(C)=O,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,1.13611233
isobutylamine,,CC(C)CN,KDSNLYIMUZNERS-UHFFFAOYSA-N,1.1359
n-butylamine,,CCCCN,HQABUPZFAYXKJW-UHFFFAOYSA-N,1.1359
2-methylpropan-2-amine,,CC(C)(C)N,YBRBMKDOPFTVDT-UHFFFAOYSA-N,1.135850982
N-ethylethanamine,,CCNCC,HPNMFZURTQLUMO-UHFFFAOYSA-N,1.135850982
lithium(1+) ion chloride,,[Li+].[Cl-],KWGKDLIKAYFUFQ-UHFFFAOYSA-M,1.134397972
propanoic acid,,CCC(O)=O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,1.130304889
hydroxyacetone,,CC(=O)CO,XLSMFKSTNGKWQX-UHFFFAOYSA-N,1.1303
oxiranemethanol,,OCC1CO1,CTKINSOISVBQLD-UHFFFAOYSA-N,1.1303
"1,3-dioxalane",,C1COCO1,WNXJIVFYUVYPPR-UHFFFAOYSA-N,1.1303
n-nitrosodimethylamine,,CN(C)N=O,UMFJAHHVKNCGLG-UHFFFAOYSA-N,1.1303
1-methylurea,,CNC(N)=O,XGEGHDBEHXKFPX-UHFFFAOYSA-N,1.130281439
2-methylpropan-2-ol,,CC(C)(C)O,DKGAVHZHDRPRBM-UHFFFAOYSA-N,1.130047012
"propane-1,2-diamine",,CC(N)CN,AOHJOMMDDJHIJH-UHFFFAOYSA-N,1.130023576
ethyl 4-methylpiperazine-1-carboxylate,,CCOC(=O)N1CCN(C)CC1,USYYUUDWGLOMDJ-UHFFFAOYSA-N,1.13
(2S)-pyrrolidine-2-carboxylic acid,,OC(=O)C1CCCN1,ONIBWKKTOPOVIA-UHFFFAOYSA-N,1.129135649
aminoformonitrile,,NC#N,XZMCDFZZKTWFGF-UHFFFAOYSA-N,1.124514989
1-amino-2-propanol,,CC(O)CN,HXKKHQJGJAFBHI-UHFFFAOYSA-N,1.1243
2-(methylamino)ethan-1-ol,,CNCCO,OPKOKAMJFNKNAS-UHFFFAOYSA-N,1.124296456
formaldehyde,,C=O,WSFSSNUMVMOOMR-UHFFFAOYSA-N,1.1206
peroxyacetic acid,,CC(=O)OO,KFSLWBXXFJQRDL-UHFFFAOYSA-N,1.1189
hydroxyurea,,NC(=O)NO,VSNHCAURESNICA-UHFFFAOYSA-N,1.1189
"propane-1,3-diol",,OCCCO,YPFDHNVEDLHUCE-UHFFFAOYSA-N,1.118643879
"1,2-propanediol",,CC(O)CO,DNIAPMSPPWPWGF-UHFFFAOYSA-N,1.1186
"ethanol, 2-hydrazino-",,NNCCO,GBHCABUWWQUMAJ-UHFFFAOYSA-N,1.1186
2-methoxyethanol,,COCCO,XNWFRZJHXBZDAG-UHFFFAOYSA-N,1.1186
fluoroacetamide,,NC(=O)CF,FVTWJXMFYOXOKK-UHFFFAOYSA-N,1.1132
fluoroacetic acid,,OC(=O)CF,QEWYKACRFQMRMB-UHFFFAOYSA-N,1.1077
dimethyl sulfoxide,,C[S](C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,1.1072
2-sulfanylethan-1-ol,,OCCS,DGVVWUTYPXICAM-UHFFFAOYSA-N,1.107148825
amino(imino)methanaminium; cyanosulfanide,,NC(N)=N.SC#N,ZJYYHGLJYGJLLN-UHFFFAOYSA-N,1.106488088
4-aminobutyric acid,,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,1.1006
bromoacetic acid,,OC(=O)CBr,KDPAWGWELVVRCH-UHFFFAOYSA-N,1.1002
pyridazine,,c1ccnnc1,PBMFSQRYOILNGV-UHFFFAOYSA-N,1.0964
pyrimidine,,c1cncnc1,CZPWVGJYEJSRLH-UHFFFAOYSA-N,1.0964
2-chloroethan-1-ol,,OCCCl,SZIFAVKTNFCBPC-UHFFFAOYSA-N,1.094128597
sodium cyanosulfanide,,[Na+].[S-]C#N,VGTPCRGMBIAPIM-UHFFFAOYSA-M,1.091113043
Sorbitol,,OCC(O)C(O)C(O)C(O)CO,FBPFZTCFMRRESA-UHFFFAOYSA-N,1.09
ammonium iodide,,[NH4+].[I-],UKFWSNCTAHXBQN-UHFFFAOYSA-N,1.08677602
1-methyl-1H-imidazole,,Cn1ccnc1,MCTWTZJPVLRJOU-UHFFFAOYSA-N,1.085625105
3-methyl-1H-pyrazole,,Cc1[nH]ncc1,XKVUYEYANWFIJX-UHFFFAOYSA-N,1.085625105
sodium iodide,,[Na+].[I-],FVAUCKIRQBBSSJ-UHFFFAOYSA-M,1.07779604
2-methylbut-3-yn-2-ol,,CC(C)(O)C#C,CEBKHWWANWSNTI-UHFFFAOYSA-N,1.075111062
sodium nitrite,,[Na+].[O-]N=O,LPXPTNMVRIOKMN-UHFFFAOYSA-M,1.074996233
2-cyanoacetic acid,,OC(=O)CC#N,MLIREBYILWEBDM-UHFFFAOYSA-N,1.07026441
acetone cyanohydrin,,CC(C)(O)C#N,MWFMGBPGAXYFAR-UHFFFAOYSA-N,1.07
pyrrolidone,,O=C1CCCN1,HNJBEVLQSNELDL-UHFFFAOYSA-N,1.07
piperidine,,C1CCNCC1,NQRYJNQNLNOLGT-UHFFFAOYSA-N,1.069815348
oxolan-2-one,,O=C1CCCO1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,1.065047292
"1,2:3,4-diepoxybutane dl",,C1OC1C2CO2,ZFIVKAOQEXOYFY-UHFFFAOYSA-N,1.065
(z)-2-butenoic acid (isocrotonic acid),,C\C=C/C(O)=O,LDHQCZJRKDOVOX-IHWYPQMZSA-N,1.065
"1,2:3,4-diepoxybutane",,C1O[C@@H]1[C@H]2CO2,ZFIVKAOQEXOYFY-ZXZARUISSA-N,1.065
"1,2:3,4-diepoxybutane (2s,3s)",,C1O[C@@H]1[C@@H]2CO2,ZFIVKAOQEXOYFY-IMJSIDKUSA-N,1.065
"1,2:3,4-diepoxybutane (2r,3r)",,C1O[C@H]1[C@H]2CO2,ZFIVKAOQEXOYFY-QWWZWVQMSA-N,1.065
piperazine,,C1CNCCN1,GLUUGHFHXGJENI-UHFFFAOYSA-N,1.0648
"(3R,3aR,6S,6aR)-3,6-dimethoxy-hexahydrofuro[3,2-b]furan",,COC1COC2C(COC12)OC,MEJYDZQQVZJMPP-UHFFFAOYSA-N,1.059991817
morpholine,,C1COCCN1,YNAVUWVOSKDBBP-UHFFFAOYSA-N,1.0599
"N,N-dimethylacetamide",,CN(C)C(C)=O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,1.059872163
n-pentylamine,,CCCCCN,DPBLXKKOBLCELK-UHFFFAOYSA-N,1.0597
"n,n-dimethylisopropylamine",,CC(C)N(C)C,VMOWKUTXPNPTEN-UHFFFAOYSA-N,1.0597
ethyl isopropylamine,,CCNC(C)C,RIVIDPPYRINTTH-UHFFFAOYSA-N,1.0597
pyruvic acid,,CC(=O)C(O)=O,LCTONWCANYUPML-UHFFFAOYSA-N,1.0552
aldol,,CC(O)CC=O,HSJKGGMUJITCBW-UHFFFAOYSA-N,1.055
"3-furanol, tetrahydro-",,OC1CCOC1,XDPCNPCKDGQBAN-UHFFFAOYSA-N,1.055
acetoin,,CC(O)C(C)=O,ROWKJAVDOGWPAT-UHFFFAOYSA-N,1.055
"1,4-dioxane",,C1COCCO1,RYHBNJHYFVUHQT-UHFFFAOYSA-N,1.054994515
ethyl(propyl)amine,,CCC[NH2+]CC,XCVNDBIXFPGMIW-UHFFFAOYSA-O,1.054659457
2-amino-1-butanol,,CCC(N)CO,JCBPETKZIGVZRE-UHFFFAOYSA-N,1.0499
2-dimethylaminoethanol,,CN(C)CCO,UEEJHVSXFDXPFK-UHFFFAOYSA-N,1.0499
2-amino-2-methyl-1-propanol,,CC(C)(N)CO,CBTVGIZVANVGBH-UHFFFAOYSA-N,1.0499
1-amino-2-butanol,,CCC(O)CN,KODLUXHSIZOKTG-UHFFFAOYSA-N,1.0499
lactic acid,,CC(O)C(O)=O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,1.0454
methoxyacetic acid,,COCC(O)=O,RMIODHQZRUFFFF-UHFFFAOYSA-N,1.0454
"fluoroacetic acid, sodium salt",,[Na+].[O-]C(=O)CF,JGFYQVQAXANWJU-UHFFFAOYSA-M,1.0452
"1,3-butanediol",,CC(O)CCO,PUPZLCDOIYMWBV-UHFFFAOYSA-N,1.0452
2-ethoxyethanol,,CCOCCO,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,1.0452
"1,1-dimethoxyethane",,COC(C)OC,SPEUIVXLLWOEMJ-UHFFFAOYSA-N,1.0452
"butane-1,4-diol",,OCCCCO,WERYXYBDKMZEQL-UHFFFAOYSA-N,1.045169179
1-methoxypropan-2-ol,,COCC(C)O,ARXJGSRGQADJSQ-UHFFFAOYSA-N,1.045169179
"1,2-dimethoxyethane",,COCCOC,XTHFKEDIFFGKHM-UHFFFAOYSA-N,1.045169179
"butane-1,2-diol",,CCC(O)CO,BMRWNKZVCUKKSR-UHFFFAOYSA-N,1.045169179
"butane-2,3-diol",,C[C@@H](O)[C@H](C)O,OWBTYPJTUOEWEK-ZXZARUISSA-N,1.045169179
potassium cyanide,,[K+].[C-]#N,NNFCIKHAZHQZJG-UHFFFAOYSA-N,1.0436
diiron(3+) ion trisulfate,,[Fe+3].[Fe+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,RUTXIHLAWFEWGM-UHFFFAOYSA-H,1.041524079
2-nitroethanol,,OCC[N+]([O-])=O,KIPMDPDAFINLIV-UHFFFAOYSA-N,1.0406
"3-aminopropane-1,2-diol",,NCC(O)CO,KQIGMPWTAHJUMN-UHFFFAOYSA-N,1.040433953
tetramethylazanium hydroxide,,[OH-].C[N+](C)(C)C,WGTYBPLFGIVFAS-UHFFFAOYSA-M,1.040224269
"propane-1,2,3-triol",,OCC(O)CO,PEDCQBHIVMGVHV-UHFFFAOYSA-N,1.035768663
dimethylsilanediol,,C[Si](C)(O)O,XCLIHDJZGPCUBT-UHFFFAOYSA-N,1.0354
2-methylbut-3-yn-2-amine,,CC(C)(N)C#C,VUGCBIWQHSRQBZ-UHFFFAOYSA-N,1.031655988
2-methylpyridine,,Cc1ccccn1,BSKHPKMHTQYZBB-UHFFFAOYSA-N,1.03091506
4-methylpyridine,,Cc1ccncc1,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,1.0309
3-methylpyridine,,Cc1cccnc1,ITQTTZVARXURQS-UHFFFAOYSA-N,1.0309
2-methylpyrazine,,Cc1cnccn1,CAWHJQAVHZEVTJ-UHFFFAOYSA-N,1.0263
3-aminopyridine,,Nc1cccnc1,CUYKNJBYIJFRCU-UHFFFAOYSA-N,1.0263
pentanedinitrile,,N#CCCCC#N,ZTOMUSMDRMJOTH-UHFFFAOYSA-N,1.0263
ammonium fluoride hydrofluoride,,[H+].[NH4+].[F-].[F-],KVBCYCWRDBDGBG-UHFFFAOYSA-N,1.023394133
2-hydroxypyridine,,O=C1NC=CC=C1,UBQKCCHYAOITMY-UHFFFAOYSA-N,1.0218
4-hydroxypyridine,,O=C1C=CNC=C1,GCNTZFIIOFTKIY-UHFFFAOYSA-N,1.0218
pyridine oxide,,[O-][n+]1ccccc1,ILVXOBCQQYKLDS-UHFFFAOYSA-N,1.0218
"acetic acid, difluoro-",,OC(=O)C(F)F,PBWZKZYHONABLN-UHFFFAOYSA-N,1.0176
methanesulfonic acid,,C[S](O)(=O)=O,AFVFQIVMOAPDHO-UHFFFAOYSA-N,1.017244979
"1,3-dihydroxypropan-2-one",,OCC(=O)CO,RXKJFZQQPQGTFL-UHFFFAOYSA-N,1.013864214
1-(2-furyl)methanamine,,NCc1occc1,DDRPCXLAQZKBJP-UHFFFAOYSA-N,1.012704742
sodium formate,,[Na+].[O-]C=O,HLBBKKJFGFRGMU-UHFFFAOYSA-M,1.012544423
potassium cyanosulfanide,,[K+].[S-]C#N,ZNNZYHKDIALBAK-UHFFFAOYSA-M,1.012409699
sulfuric acid,,O[S](O)(=O)=O,QAOWNCQODCNURD-UHFFFAOYSA-N,1.0084
N-(1-cyanoethyl)formamide,,CC(NC=O)C#N,ONONIESHMTZAKB-UHFFFAOYSA-N,1.008308858
2-hydroxymethylfuran,,OCc1occc1,XPFVYQJUAUNWIW-UHFFFAOYSA-N,1.0083
"1,2,4-triazole",,[nH]1cncn1,NSPMIYGKQJPBQR-UHFFFAOYSA-N,1.005827448
1-methylpyrrolidin-2-one,,CN1CCCC1=O,SECXISVLQFMRJM-UHFFFAOYSA-N,1.003781751
cyclohexanamine,,NC1CCCCC1,PAFZNILMFXTMIY-UHFFFAOYSA-N,1.003589033
"benzene-1,3-diol",,Oc1cccc(O)c1,GHMLBKRAJCXXBS-UHFFFAOYSA-N,1.003488328
acetic acid,,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,1.001717808
glutaric  acid;  pentanedioic  acid,,OC(=O)CCCC(O)=O,JFCQEDHGNNZCLN-UHFFFAOYSA-N,1
"2,2,2-trifluoroethan-1-ol",,OCC(F)(F)F,RHQDFWAXVIIEBN-UHFFFAOYSA-N,0.999830658
n-nitrosopyrrolidine,,O=NN1CCCC1,WNYADZVDBIBLJJ-UHFFFAOYSA-N,0.9995
oxan-2-one,,O=C1CCCCO1,OZJPLYNZGCXSJM-UHFFFAOYSA-N,0.999492173
3-oxobutanamide,,CC(=O)CC(N)=O,GCPWJFKTWGFEHH-UHFFFAOYSA-N,0.995227367
n-methylmorpholine,,CN1CCOCC1,SJRJJKPEHAURKC-UHFFFAOYSA-N,0.995
"n,n-diethylformamide",,CCN(CC)C=O,SUAKHGWARZSWIH-UHFFFAOYSA-N,0.995
acetoacetic acid,,CC(=O)CC(O)=O,WDJHALXBUFZDSR-UHFFFAOYSA-N,0.991
(3-aminopropyl)dimethylamine,,CN(C)CCCN,IUNMPGNGSSIWFP-UHFFFAOYSA-N,0.990629851
sodium hydrogensulphide,,[Na+].[SH-],HYHCSLBZRBJJCH-UHFFFAOYSA-M,0.990088732
"acetamide, n-(2-hydroxyethyl)-",,CC(=O)NCCO,PVCJKHHOXFKFRP-UHFFFAOYSA-N,0.9867
"butanoic acid, 3-amino-",,CC(N)CC(O)=O,OQEBBZSWEGYTPG-UHFFFAOYSA-N,0.9867
3-(dimethylamino)propan-1-ol,,CN(C)CCCO,PYSGFFTXMUWEOT-UHFFFAOYSA-N,0.986467618
diethylenetriamine,,NCCNCCN,RPNUMPOLZDHAAY-UHFFFAOYSA-N,0.9864
"acetic acid, dibromo-",,OC(=O)C(Br)Br,SIEILFNCEFEENQ-UHFFFAOYSA-N,0.9861
"2-butanamine, 3,3-dimethyl-",,C[C@H]([NH3+])C(C)(C)C,DXSUORGKJZADET-YFKPBYRVSA-O,0.9861
"2-hydroxypropanoic acid, methyl ester",,COC(=O)C(C)O,LPEKGGXMPWTOCB-UHFFFAOYSA-N,0.9825
"pentane-1,2-diol",,CCCC(O)CO,WCVRQHFDJLLWFE-UHFFFAOYSA-N,0.982344896
"pentane-1,5-diol",,OCCCCCO,ALQSHHUCVQOPAS-UHFFFAOYSA-N,0.982344896
2-[(2-aminoethyl)amino]ethan-1-ol,,NCCNCCO,LHIJANUOQQMGNT-UHFFFAOYSA-N,0.982328216
"2,2'-oxydiethanamine",,NCCOCCN,GXVUZYLYWKWJIM-UHFFFAOYSA-N,0.982328216
"n,n-dimethylthiourea",,CNC(=S)NC,VLCDUOXHFNUCKK-UHFFFAOYSA-N,0.9823
2-amino-2-methylpropanediol,,CC(N)(CO)CO,UXFQFBNBSPQBJW-UHFFFAOYSA-N,0.9782
2-aminopyridine,,Nc1ccccn1,ICSNLGPSRYBMBD-UHFFFAOYSA-N,0.9757
"2-aminopropane-1,3-diol",,NC(CO)CO,KJJPLEZQSCZCKE-UHFFFAOYSA-N,0.974427117
2-(2-hydroxyethoxy)ethan-1-ol,,OCCOCCO,MTHSVFCYNBDYFN-UHFFFAOYSA-N,0.974198666
1H-imidazole,,[nH]1ccnc1,RAXXELZNTBOGNW-UHFFFAOYSA-N,0.968390542
2-pyridinemethaneamine,,NCc1ccccn1,WOXFMYVTSLAQMO-UHFFFAOYSA-N,0.966
4-pyridinemethaneamine,,NCc1ccncc1,TXQWFIVRZNOPCK-UHFFFAOYSA-N,0.966
potassium cyanate,,[K+].[O-]C#N,GKKCIDNWFBPDBW-UHFFFAOYSA-M,0.965960091
2-chloropropionic acid,,CC(Cl)C(O)=O,GAWAYYRQGQZKCR-UHFFFAOYSA-N,0.9645
2-[3-(4-propylheptyl)morpholin-4-yl]ethan-1-ol hydrochloride,,CCCC(CCC)CCCC1COCCN1CCO,QSFOWAYMMZCQNF-UHFFFAOYSA-N,0.964258162
o-methyl carbamate,,COC(N)=O,GTCAXTIRRLKXRU-UHFFFAOYSA-N,0.964
sodium bromide,,[Na+].[Br-],JHJLBTNAGRQEKS-UHFFFAOYSA-M,0.963501086
dimethyl[2-[(2-methyl-1-oxoallyl)oxy]ethyl](3-sulphopropyl)ammonium hydroxide,,CC(=C)C(=O)OCC[N+](C)(C)CCC[S]([O-])(=O)=O,BCAIDFOKQCVACE-UHFFFAOYSA-N,0.96273997
4-pyridinemethanol,,OCc1ccncc1,PTMBWNZJOQBTBK-UHFFFAOYSA-N,0.9621
"2(1h)-pyridinone, 1-methyl-",,CN1C=CC=CC1=O,DVVGIUUJYPYENY-UHFFFAOYSA-N,0.9621
4-methyl-n-oxidepyridine,,Cc1cc[n+]([O-])cc1,IWYYIZOHWPCALJ-UHFFFAOYSA-N,0.9621
3-methyl-n-oxidepyridine,,CC1=CC=C[NH++]([O-])[CH-]1,DMGGLIWGZFZLIY-UHFFFAOYSA-N,0.9621
pyridin-3-ylmethanol,,OCc1cccnc1,MVQVNTPHUGQQHK-UHFFFAOYSA-N,0.962063804
ammonium 2-sulfanylacetate,,[NH4+].[O-]C(=O)CS,ZZTCCAPMZLDHFM-UHFFFAOYSA-N,0.96197626
"N,N,N-trimethylmethanaminium chloride",,[Cl-].C[N+](C)(C)C,OKIZCWYLBDKLSU-UHFFFAOYSA-M,0.960189446
urea,,NC(N)=O,XSQUKJJJFZCRTK-UHFFFAOYSA-N,0.957840099
2-[(2-hydroxyethyl)amino]ethan-1-ol,,OCCNCCO,ZBCBWPMODOFKDW-UHFFFAOYSA-N,0.957792794
"3-chloro-1,2-propanediol",,OCC(O)CCl,SSZWWUDQMAHNAQ-UHFFFAOYSA-N,0.9565
Antipyrine; Phenazone,CAS60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,VEQOALNAAJBPNY-UHFFFAOYSA-N,0.96
acrylamide,,NC(=O)C=C,HRPVXLWXLXDGHG-UHFFFAOYSA-N,0.9544
dipotassium carbonate,,[K+].OC([O-])=O,TYJJADVDDVDEDZ-UHFFFAOYSA-M,0.953747696
sodium 2-sulfanylethan-1-olate,,[Na+].[O-]CCS,RYBWXHDKJVRTES-UHFFFAOYSA-N,0.953730344
sodium lactate,,[Na+].CC(O)C([O-])=O,NGSFWBMYFKHRBD-UHFFFAOYSA-M,0.9505
