Name,ID,SMILES,InChI,Fa
DAPSONE,CHEMBL1043,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,MQJKPEGWNLWLTK-UHFFFAOYSA-N,1
METHYSERGIDE,CHEMBL1065,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34,KPJZHOPZRAFDTN-ZRGWGRIASA-N,1
GLIPIZIDE,CHEMBL1073,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,1
BROMFENAC,CHEMBL1077,Nc1c(CC(=O)O)cccc1C(=O)c2ccc(Br)cc2,ZBPLOVFIXSTCRZ-UHFFFAOYSA-N,1
TIZANIDINE,CHEMBL1079,Clc1ccc2nsnc2c1NC3=NCCN3,XFYDIVBRZNQMJC-UHFFFAOYSA-N,1
CARBAMAZEPINE,CHEMBL108,NC(=O)N1c2ccccc2C=Cc3ccccc13,FFGPTBGBLSHEPO-UHFFFAOYSA-N,1
VALPROIC ACID,CHEMBL109,CCCC(CCC)C(=O)O,NIJJYAXOARWZEE-UHFFFAOYSA-N,1
CAMAZEPAM,CHEMBL1095282,CN(C)C(=O)OC1N=C(c2ccccc2)c3cc(Cl)ccc3N(C)C1=O,PXBVEXGRHZFEOF-UHFFFAOYSA-N,1
PHENGLUTARIMIDE,CHEMBL1096643,CCN(CC)CCC1(CCC(=O)NC1=O)c2ccccc2,BFMBKRQFMIILCH-UHFFFAOYSA-N,1
BIPERIDEN,CHEMBL1101,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,YSXKPIUOCJLQIE-UHFFFAOYSA-N,1
CORTICOSTERONE,CHEMBL110739,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,1
ACETAMINOPHEN,CHEMBL112,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,1
DICYCLOMINE,CHEMBL1123,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,CURUTKGFNZGFSE-UHFFFAOYSA-N,1
CAFFEINE,CHEMBL113,CN1C(=O)N(C)c2ncn(C)c2C1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,1
NORETHINDRONE,CHEMBL1162,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,VIKNJXKGJWUCNN-XGXHKTLJSA-N,1
ROQUINIMEX,CHEMBL11672,CN(C(=O)C1=C(O)c2ccccc2N(C)C1=O)c3ccccc3,SGOOQMRIPALTEL-UHFFFAOYSA-N,1
TETRABENAZINE,CHEMBL117785,COc1cc2CCN3CC(CC(C)C)C(=O)CC3c2cc1OC,MKJIEFSOBYUXJB-UHFFFAOYSA-N,1
OXTRIPHYLLINE,CHEMBL1200434,CN1C(=O)N(C)c2nc[n-]c2C1=O.C[N+](C)(C)CCO,RLANKEDHRWMNRO-UHFFFAOYSA-M,1
ETHYNODIOL DIACETATE,CHEMBL1200624,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(=O)C)C#C)[C@@H]3CCC2=C1,ONKUMRGIYFNPJW-KIEAKMPYSA-N,1
CHLORMEZANONE,CHEMBL1200714,CN1C(c2ccc(Cl)cc2)S(=O)(=O)CCC1=O,WEQAYVWKMWHEJO-UHFFFAOYSA-N,1
NORGESTIMATE,CHEMBL1200934,CC[C@]12CC[C@H]3[C@@H](CCC4=C\C(=N\O)\CC[C@H]34)[C@@H]1CC[C@@]2(OC(=O)C)C#C,KIQQMECNKUGGKA-NMYWJIRASA-N,1
METHOCARBAMOL,CHEMBL1201117,COc1ccccc1OCC(O)COC(=O)N,GNXFOGHNGIVQEH-UHFFFAOYSA-N,1
MEGESTROL ACETATE,CHEMBL1201139,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)C,RQZAXGRLVPAYTJ-GQFGMJRRSA-N,1
LEVOBUNOLOL,CHEMBL1201237,CC(C)(C)NC[C@H](O)COc1cccc2C(=O)CCCc12,IXHBTMCLRNMKHZ-LBPRGKRZSA-N,1
INDECAINIDE,CHEMBL1201242,CC(C)NCCCC1(C(=O)N)c2ccccc2c3ccccc13,UCEWGESNIULAGX-UHFFFAOYSA-N,1
BETAZOLE,CHEMBL1201323,NCCc1cc[nH]n1,JXDFEQONERDKSS-UHFFFAOYSA-N,1
METHYLERGONOVINE,CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,UNBRKDKAWYKMIV-QWQRMKEZSA-N,1
ROSIGLITAZONE,CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3,YASAKCUCGLMORW-UHFFFAOYSA-N,1
GESTODENE,CHEMBL1213583,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1C=C[C@@]2(O)C#C,SIGSPDASOTUPFS-XUDSTZEESA-N,1
TINIDAZOLE,CHEMBL1220,CCS(=O)(=O)CCn1c(C)ncc1[N+](=O)[O-],HJLSLZFTEKNLFI-UHFFFAOYSA-N,1
"GLUCOSE, LIQUID",CHEMBL1222250,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-GASJEMHNSA-N,1
OXYPHENBUTAZONE,CHEMBL1228,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3,HFHZKZSRXITVMK-UHFFFAOYSA-N,1
OXYBUTYNIN,CHEMBL1231,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,XIQVNETUBQGFHX-UHFFFAOYSA-N,1
AZIMILIDE,CHEMBL123558,CN1CCN(CCCCN2C(=O)CN(\N=C\c3oc(cc3)c4ccc(Cl)cc4)C2=O)CC1,MREBEPTUUMTTIA-PCLIKHOPSA-N,1
MOLSIDOMINE,CHEMBL1256353,CCOC(=O)\N=C\1/O[N-][N+](=C1)N2CCOCC2,XLFWDASMENKTKL-NTMALXAHSA-N,1
LINEZOLID,CHEMBL126,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,TYZROVQLWOKYKF-ZDUSSCGKSA-N,1
NILUTAMIDE,CHEMBL1274,CC1(C)NC(=O)N(C1=O)c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-],XWXYUMMDTVBTOU-UHFFFAOYSA-N,1
LEVETIRACETAM,CHEMBL1286,CC[C@H](N1CCCC1=O)C(=O)N,HPHUVLMMVZITSG-LURJTMIESA-N,1
PENBUTOLOL,CHEMBL1290,CC(C)(C)NC[C@H](O)COc1ccccc1C2CCCC2,KQXKVJAGOJTNJS-HNNXBMFYSA-N,1
QUINIDINE,CHEMBL1294,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,LOUPRKONTZGTKE-LHHVKLHASA-N,1
FOMEPIZOLE,CHEMBL1308,Cc1cn[nH]c1,RIKMMFOAQPJVMX-UHFFFAOYSA-N,1
ISOSORBIDE MONONITRATE,CHEMBL1311,O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+](=O)[O-],YWXYYJSYQOXTPL-SLPGGIOYSA-N,1
CARPROFEN,CHEMBL1316,CC(C(=O)O)c1ccc2c(c1)[nH]c3ccc(Cl)cc23,PUXBGTOOZJQSKH-UHFFFAOYSA-N,1
PROCARBAZINE,CHEMBL1321,CNNCc1ccc(cc1)C(=O)NC(C)C,CPTBDICYNRMXFX-UHFFFAOYSA-N,1
METRONIDAZOLE,CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,VAOCPAMSLUNLGC-UHFFFAOYSA-N,1
BUDESONIDE,CHEMBL1370,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,VOVIALXJUBGFJZ-KWVAZRHASA-N,1
CYCLOPENTHIAZIDE,CHEMBL1373254,NS(=O)(=O)c1cc2c(NC(CC3CCCC3)NS2(=O)=O)cc1Cl,BKYKPTRYDKTTJY-UHFFFAOYSA-N,1
PROTIONAMIDE,CHEMBL1378024,CCCc1cc(ccn1)C(=S)N,VRDIULHPQTYCLN-UHFFFAOYSA-N,1
OXATOMIDE,CHEMBL13828,O=C1Nc2ccccc2N1CCCN3CCN(CC3)C(c4ccccc4)c5ccccc5,BAINIUMDFURPJM-UHFFFAOYSA-N,1
LEVONORGESTREL,CHEMBL1389,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,WWYNJERNGUHSAO-XUDSTZEESA-N,1
DICLOFENAC,CHEMBL139,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,DCOPUUMXTXDBNB-UHFFFAOYSA-N,1
ANASTROZOLE,CHEMBL1399,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
LAMIVUDINE,CHEMBL141,NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO)O2,JTEGQNOMFQHVDC-NKWVEPMBSA-N,1
DOXYCYCLINE,CHEMBL1433,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O,JBIWCJUYHHGXTC-AKNGSSGZSA-N,1
MINOCYCLINE,CHEMBL1434,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)N(C)C,DYKFCLLONBREIL-KVUCHLLUSA-N,1
CEFAZOLIN,CHEMBL1435,Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C(=O)O)s1,MLYYVTUWGNIJIB-BXKDBHETSA-N,1
REBOXETINE,CHEMBL14370,CCOc1ccccc1OC(C2CNCCO2)c3ccccc3,CBQGYUDMJHNJBX-UHFFFAOYSA-N,1
LETROZOLE,CHEMBL1444,N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3,HPJKCIUCZWXJDR-UHFFFAOYSA-N,1
TRIAMCINOLONE,CHEMBL1451,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,GFNANZIMVAIWHM-OBYCQNJPSA-N,1
NITROXOLINE,CHEMBL1454910,Oc1ccc(c2cccnc12)[N+](=O)[O-],RJIWZDNTCBHXAL-UHFFFAOYSA-N,1
GLIMEPIRIDE,CHEMBL1481,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@@H]3CC[C@@H](C)CC3)C1=O,WIGIZIANZCJQQY-RUCARUNLSA-N,1
TRIHEXYPHENIDYL,CHEMBL1490,OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3,HWHLPVGTWGOCJO-UHFFFAOYSA-N,1
PANTOPRAZOLE,CHEMBL1502,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,IQPSEEYGBUAQFF-UHFFFAOYSA-N,1
IRBESARTAN,CHEMBL1513,CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4c5nn[nH]n5,YOSHYTLCDANDAN-UHFFFAOYSA-N,1
ZALEPLON,CHEMBL1521,CCN(C(=O)C)c1cccc(c1)c2ccnc3c(cnn23)C#N,HUNXMJYCHXQEGX-UHFFFAOYSA-N,1
AMOSULALOL,CHEMBL152231,COc1ccccc1OCCNCC(O)c2ccc(C)c(c2)S(=O)(=O)N,LVEXHFZHOIWIIP-UHFFFAOYSA-N,1
NAPROXEN,CHEMBL154,COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O,CMWTZPSULFXXJA-VIFPVBQESA-N,1
SALSALATE,CHEMBL154111,OC(=O)c1ccccc1OC(=O)c2ccccc2O,WVYADZUPLLSGPU-UHFFFAOYSA-N,1
URSODIOL,CHEMBL1551,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,RUDATBOHQWOJDD-UZVSRGJWSA-N,1
FENCLOFENAC,CHEMBL15677,OC(=O)Cc1ccccc1Oc2ccc(Cl)cc2Cl,IDKAXRLETRCXKS-UHFFFAOYSA-N,1
LORNOXICAM,CHEMBL1569487,CN1C(=C(O)c2sc(Cl)cc2S1(=O)=O)C(=O)Nc3ccccn3,WLHQHAUOOXYABV-UHFFFAOYSA-N,1
LISURIDE,CHEMBL157138,CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,BKRGVLQUQGGVSM-KBXCAEBGSA-N,1
POLYTHIAZIDE,CHEMBL1587,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(cc2S1(=O)=O)S(=O)(=O)N,CYLWJCABXYDINA-UHFFFAOYSA-N,1
INDOPROFEN,CHEMBL15870,CC(C(=O)O)c1ccc(cc1)N2Cc3ccccc3C2=O,RJMIEHBSYVWVIN-UHFFFAOYSA-N,1
PSEUDOEPHEDRINE,CHEMBL1590,CN[C@@H](C)[C@@H](O)c1ccccc1,KWGRBVOPPLSCSI-WCBMZHEXSA-N,1
ALFACALCIDOL,CHEMBL1601669,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C,OFHCOWSQAMBJIW-AVJTYSNKSA-N,1
CEPHRADINE,CHEMBL1604,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C2=O)C(=O)O,RDLPVSKMFDYCOR-UEKVPHQBSA-N,1
CICAPROST,CHEMBL160629,CCC#CC[C@H](C)[C@H](O)C#C[C@H]1[C@H](O)C[C@@H]2C\C(=C/COCC(=O)O)\C[C@H]12,ARUGKOZUKWAXDS-SEWALLKFSA-N,1
BENORILATE,CHEMBL162036,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(=O)C)cc1 ,FEJKLNWAOXSSNR-UHFFFAOYSA-N,1
NAFRONYL,CHEMBL1620794,CCN(CC)CCOC(=O)C(CC1CCCO1)Cc2cccc3ccccc23 ,KBAFPSLPKGSANY-UHFFFAOYSA-N,1
CEFADROXIL,CHEMBL1644,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O,BOEGTKLJZSQCCD-UEKVPHQBSA-N,1
TOREMIFENE,CHEMBL1655,CN(C)CCOc1ccc(cc1)\C(=C(\CCCl)/c2ccccc2)\c3ccccc3,XFCLJVABOIYOMF-QPLCGJKRSA-N,1
BENDROFLUMETHIAZIDE,CHEMBL1684,NS(=O)(=O)c1cc2c(NC(Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F,HDWIHXWEUNVBIY-UHFFFAOYSA-N,1
TERFENADINE,CHEMBL17157,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,GUGOEEXESWIERI-UHFFFAOYSA-N,1
CEPHALEXIN,CHEMBL1727,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(=O)O,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,1
SOLIFENACIN,CHEMBL1734,O=C(O[C@H]1CN2CCC1CC2)N3CCc4ccccc4[C@@H]3c5ccccc5,FBOUYBDGKBSUES-VXKWHMMOSA-N,1
CLINDAMYCIN,CHEMBL1753,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O,KDLRVYVGXIQJDK-AWPVFWJPSA-N,1
DOXAPRAM,CHEMBL1754,CCN1CC(CCN2CCOCC2)C(C1=O)(c3ccccc3)c4ccccc4,XFDJYSQDBULQSI-UHFFFAOYSA-N,1
CONIVAPTAN,CHEMBL1755,Cc1nc2c(CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc26)[nH]1,IKENVDNFQMCRTR-UHFFFAOYSA-N,1
GLYCYLSARCOSINE,CHEMBL175737,CN(CC(=O)O)C(=O)CN,VYAMLSCELQQRAE-UHFFFAOYSA-N,1
TOCAINIDE,CHEMBL1762,CC(N)C(=O)Nc1c(C)cccc1C,BUJAGSGYPOAWEI-UHFFFAOYSA-N,1
INDOBUFEN,CHEMBL1765292,CCC(C(=O)O)c1ccc(cc1)N2Cc3ccccc3C2=O,AYDXAULLCROVIT-UHFFFAOYSA-N,1
BUFLOMEDIL,CHEMBL188921,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,OWYLAEYXIQKAOL-UHFFFAOYSA-N,1
MILRINONE,CHEMBL189,CC1=C(C=C(C#N)C(=O)N1)c2ccncc2,PZRHRDRVRGEVNW-UHFFFAOYSA-N,1
THEOPHYLLINE,CHEMBL190,CN1C(=O)N(C)c2nc[nH]c2C1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,1
PAPAVERINE,CHEMBL19224,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,1
NIFEDIPINE,CHEMBL193,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C,HYIMSNHJOBLJNT-UHFFFAOYSA-N,1
ZOMEPIRAC,CHEMBL19490,Cc1cc(CC(=O)O)n(C)c1C(=O)c2ccc(Cl)cc2,ZXVNMYWKKDOREA-UHFFFAOYSA-N,1
ASCORBIC ACID,CHEMBL196,OC[C@H](O)[C@H]1OC(=O)C(=C1O)O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,1
ACETAZOLAMIDE,CHEMBL20,CC(=O)Nc1nnc(s1)S(=O)(=O)N,BZKPWHYZMXOIDC-UHFFFAOYSA-N,1
LOXIGLUMIDE,CHEMBL206025,CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,QNQZBKQEIFTHFZ-UHFFFAOYSA-N,1
SUDOXICAM,CHEMBL20634,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3nccs3,SYCHUQUJURZQMO-UHFFFAOYSA-N,1
LYMECYCLINE,CHEMBL2103929,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)c4c(O)cccc4[C@@]3(C)O,AHEVKYYGXVEWNO-UEPZRUIBSA-N,1
KETAZOLAM,CHEMBL2104356,CN1C(=O)CN2C(=O)C=C(C)OC2(c3ccccc3)c4cc(Cl)ccc14 ,PWAJCNITSBZRBL-UHFFFAOYSA-N,1
BORNAPRINE,CHEMBL2104596,CCN(CC)CCCOC(=O)C1(C[C@@H]2CC[C@H]1C2)c3ccccc3 ,BDNMABJZSXTKAQ-VCPDFFEISA-N,1
LYNESTRENOL,CHEMBL2107431,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,YNVGQYHLRCDXFQ-XGXHKTLJSA-N,1
NORGESTREL,CHEMBL2107797,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CCC2(O)C#C,WWYNJERNGUHSAO-CULCCENASA-N,1
CICLOPROLOL,CHEMBL2110772,CC(C)NCC(O)COc1ccc(OCCOCC2CC2)cc1 ,JNDJPKHYZWRRIS-UHFFFAOYSA-N,1
LORMETAZEPAM,CHEMBL22097,CN1C(=O)C(O)N=C(c2ccccc2Cl)c3cc(Cl)ccc13,FJIKWRGCXUCUIG-UHFFFAOYSA-N,1
QUINAGOLIDE,CHEMBL2218861,CCCN1CC(CC2Cc3c(O)cccc3CC12)NS(=O)(=O)N(CC)CC ,GDFGTRDCCWFXTG-UHFFFAOYSA-N,1
TILIDINE,CHEMBL2220384,CCOC(=O)C1(CCC=CC1N(C)C)c2ccccc2,WDEFBBTXULIOBB-UHFFFAOYSA-N,1
REMOXIPRIDE,CHEMBL22242,CCN1CCC[C@H]1CNC(=O)c2c(OC)ccc(Br)c2OC,GUJRSXAPGDDABA-NSHDSACASA-N,1
CHENODIOL,CHEMBL240597,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,RUDATBOHQWOJDD-BSWAIDMHSA-N,1
AMISULPRIDE,CHEMBL243712,CCN1CCCC1CNC(=O)c2cc(c(N)cc2OC)S(=O)(=O)CC,NTJOBXMMWNYJFB-UHFFFAOYSA-N,1
BETAHISTINE,CHEMBL24441,CNCCc1ccccn1,UUQMNUMQCIQDMZ-UHFFFAOYSA-N,1
FLUPIRTINE,CHEMBL255044,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,JUUFBMODXQKSTD-UHFFFAOYSA-N,1
BEZAFIBRATE,CHEMBL264374,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,IIBYAHWJQTYFKB-UHFFFAOYSA-N,1
ACETANILIDE,CHEMBL269644,CC(=O)Nc1ccccc1,FZERHIULMFGESH-UHFFFAOYSA-N,1
NOMIFENSINE,CHEMBL273575,CN1CC(c2ccccc2)c3cccc(N)c3C1,XXPANQJNYNUNES-UHFFFAOYSA-N,1
HYDRALAZINE,CHEMBL276832,NNc1nncc2ccccc12,RPTUSVTUFVMDQK-UHFFFAOYSA-N,1
CLINAFLOXACIN,CHEMBL278255,NC1CCN(C1)c2c(F)cc3C(=O)C(=CN(C4CC4)c3c2Cl)C(=O)O,QGPKADBNRMWEQR-UHFFFAOYSA-N,1
URAPIDIL,CHEMBL279229,COc1ccccc1N2CCN(CCCNC3=CC(=O)N(C)C(=O)N3C)CC2,ICMGLRUYEQNHPF-UHFFFAOYSA-N,1
TESAGLITAZAR,CHEMBL282686,CCO[C@@H](Cc1ccc(OCCc2ccc(OS(=O)(=O)C)cc2)cc1)C(=O)O,CXGTZJYQWSUFET-IBGZPJMESA-N,1
DALFAMPRIDINE,CHEMBL284348,Nc1ccncc1,NUKYPUAOHBNCPY-UHFFFAOYSA-N,1
NICORANDIL,CHEMBL284906,[O-][N+](=O)OCCNC(=O)c1cccnc1,LBHIOVVIQHSOQN-UHFFFAOYSA-N,1
ZOTEPINE,CHEMBL285802,CN(C)CCOC1=Cc2ccccc2Sc3ccc(Cl)cc13,HDOZVRUNCMBHFH-UHFFFAOYSA-N,1
AMINOPYRINE,CHEMBL288470,CN(C)C1=C(C)N(C)N(C1=O)c2ccccc2,RMMXTBMQSGEXHJ-UHFFFAOYSA-N,1
GRANISETRON,CHEMBL289469,CN1C2CCCC1CC(C2)NC(=O)c3nn(C)c4ccccc34,MFWNKCLOYSRHCJ-UHFFFAOYSA-N,1
ALIZAPRIDE,CHEMBL290194,COc1cc2[nH]nnc2cc1C(=O)NCC3CCCN3CC=C,KSEYRUGYKHXGFW-UHFFFAOYSA-N,1
LEUCINE,CHEMBL291962,CC(C)C[C@H](N)C(=O)O,ROHFNLRQFUQHCH-YFKPBYRVSA-N,1
BUFURALOL,CHEMBL296035,CCc1cccc2cc(oc12)C(O)CNC(C)(C)C,SSEBTPPFLLCUMN-UHFFFAOYSA-N,1
ASTEMIZOLE,CHEMBL296419,COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1,GXDALQBWZGODGZ-UHFFFAOYSA-N,1
NICOTINE,CHEMBL3,CN1CCC[C@H]1c2cccnc2,SNICXCGAKADSCV-JTQLQIEISA-N,1
PHENYLALANINE,CHEMBL301523,N[C@@H](Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-QMMMGPOBSA-N,1
TENOXICAM,CHEMBL302795,CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc3ccccn3,LZNWYQJJBLGYLT-UHFFFAOYSA-N,1
MEPTAZINOL,CHEMBL314437,CCC1(CCCCN(C)C1)c2cccc(O)c2,JLICHNCFTLFZJN-UHFFFAOYSA-N,1
ADINAZOLAM,CHEMBL328250,CN(C)Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,GJSLOMWRLALDCT-UHFFFAOYSA-N,1
LEVOFLOXACIN,CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,GSDSWSVVBLHKDQ-JTQLQIEISA-N,1
,CHEMBL3318313,Clc1ccccc1COc2ccc(cc2)N3C[C@H](CC3=O)C(=O)NCc4ccc5OCOc5c4,IZTQEWCKHKZHMQ-IBGZPJMESA-N,1
,CHEMBL3318317,Cc1cc(C)cc(NC(=O)[C@H]2CN(CCc3c[nH]c4ccc(F)cc34)C(=O)C2)c1,VMQZFDPAEMQAQV-QGZVFWFLSA-N,1
