Name,ID,InChI,SMILES,LogD
,CHEMBL340983,WPRACYICKOKGTO-XZWHSSHBSA-N,COc1ccc(Cl)c(c1)C(=O)NCC23CC4CC(CC(C4)C2)C3,4.39
,CHEMBL1312599,OZYYOJGDGOAPBJ-QGZVFWFLSA-N,Brc1oc(cc1)c2nc3cc(NS(=O)(=O)c4ccccc4)ccc3[nH]2,4.38
,CHEMBL396043,PSKBLTTURNPFTI-SSEXGKCCSA-N,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3nc(NC4CC4)sc13,4.37
,CHEMBL441479,VAOCPAMSLUNLGC-UHFFFAOYSA-N,Clc1cccc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1Cl,4.37
,CHEMBL1574150,VMFGCGRAIBLAFY-IBGZPJMESA-N,O=C(NC1CCCC1)C(N(Cc2occc2)C(=O)c3ccc([nH]3)c4ccccc4)c5ccncc5,4.36
,CHEMBL85752,LGOGPWFGCPSOGF-UHFFFAOYSA-N,CC(C)CN1C(=O)N(C)C(=O)c2c(SCCCO)n(Cc3cccc4ccccc34)cc12,4.36
,CHEMBL87785,VGSCCXHEFUGWKB-UHFFFAOYSA-N,C[C@H](CNCCc1ccncc1)c2c([nH]c3ccc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6,4.35
,CHEMBL2087622,VRYYKMWSYKUDID-UHFFFAOYSA-N,CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6oc(cc6C)C#N)c3C1=O,4.34
,CHEMBL2087849,LTQJNQDKHOMARK-UHFFFAOYSA-N,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,4.33
,CHEMBL1770476,JWHAUXFOSRPERK-UHFFFAOYSA-N,CCOc1ccc2oc(C(=O)NC(CCSC)c3nc4cnccc4[nH]3)c(C)c2c1,4.31
,CHEMBL1631889,SFCSGOORFFORDY-UHFFFAOYSA-N,c1ccc(cc1)C#Cc2n[nH]c3ccccc23,4.31
,CHEMBL422,DKYWVDODHFEZIM-UHFFFAOYSA-N,CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,4.31
,CHEMBL1163803,NFYMGJSUKCDVJR-UHFFFAOYSA-N,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F,4.3
,CHEMBL2349312,GLZIAHGQHCQKEZ-GIFGLUKTSA-N,CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2)nc3NC(=O)Sc13,4.3
,CHEMBL48616,AEQYZGAQFDSQIR-UHFFFAOYSA-N,Cc1cc(C)cc(c1)c2[nH]c3ccc(cc3c2CCNCCCCc4ccncc4)C(C)(C)C(=O)N5C6CCC5CC6,4.3
,CHEMBL1822878,LJTNAYABPZKATH-KXTWHKPSSA-N,Oc1ccc(Br)c2ccccc12,4.3
,CHEMBL401874,PVJNMWAQIUNUKH-QFIPXVFZSA-N,CC(C)CN1C(=O)N(C)C(=O)c2c1nn(Cc3cccc4ccccc34)c2c5ccncc5,4.3
,CHEMBL426658,QMJHGNGJQQDHLD-UHFFFAOYSA-N,Clc1cccc(c1)c2cnc3ccc(NC4CCOCC4)nn23,4.3
,CHEMBL2069421,KLPWJLBORRMFGK-UHFFFAOYSA-N,COc1ncc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4,4.3
,CHEMBL2312113,BTJIUGUIPKRLHP-UHFFFAOYSA-N,COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c3ccc4OCOc4c3)c(OC)c1,4.3
,CHEMBL244522,FJLGEFLZQAZZCD-MCBHFWOFSA-N,CC(C)(C)c1ccc(cc1)c2n[nH]c(NC(=O)c3ccccc3Cl)c2Br,4.3
,CHEMBL1705098,VDIFOBFULIDFKJ-UHFFFAOYSA-N,Cc1ccc(Oc2ccc(OCC(=O)Nc3ccncc3)cc2)cc1,4.3
,CHEMBL163,WFJBUKXLKMXFQU-UHFFFAOYSA-N,CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4,4.3
,CHEMBL1209737,MVLVSSYWLGSAFE-MAODMQOUSA-N,FC(F)(F)c1ccc(cc1)S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3,4.29
,CHEMBL561771,KAGHJGHSKOXHFD-OKILXGFUSA-N,COc1cccc(NC(=O)c2cccc(Cc3c(C)nn(CCO)c3c4ccccc4)c2)c1,4.29
,CHEMBL1712280,DLUFUVCAUGKHRL-UHFFFAOYSA-N,C1Oc2ccccc2C3=NN(CC13)c4ccccc4,4.28
,CHEMBL130590,JVGLCNLAIQFPNA-GFCCVEGCSA-N,Cc1ccccc1C(=O)NCC23CC4CC(CC(C4)C2)C3,4.28
,CHEMBL517943,NEBLOWDPQKVZJW-UHFFFAOYSA-N,Fc1ccc(CNc2ncc(Br)c(Nc3cc([nH]n3)C4CC4)n2)cc1,4.28
,CHEMBL189181,HMICMRQBKBXVSC-AWEZNQCLSA-N,CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(F)cc4)c23)cc1,4.28
,CHEMBL2087862,FMYKJLXRRQTBOR-BZSNNMDCSA-N,Cn1cc(cc1c2c3C(=O)N(CC=C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)C#N,4.27
,CHEMBL2087625,TXHDMRAYYSONQK-UHFFFAOYSA-N,CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cc(oc6C)C#N)c3C1=O,4.26
,CHEMBL187007,UNSGOTITAWKECZ-UHFFFAOYSA-N,COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(c4)N(C)C)ccc3Cl)c2cc1OC,4.26
,CHEMBL2036753,YEVMYZBKILWGFV-UHFFFAOYSA-N,Clc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(Cc4ccccc4)C3)CC2)cc1Cl,4.26
,CHEMBL436826,USNLEYVXXNQTEL-CQSZACIVSA-N,CCOc1ccc(cc1)N2C(=O)c3ccccc3N=C2[C@@H](C)N(Cc4cccnc4)C(=O)Cc5ccc(cc5)C(F)(F)F,4.25
,CHEMBL407960,AQEIRYQRLMXQPR-SCAQPMJSSA-N,COc1ccc(OC)c(CNc2n[nH]c3ccnc(Oc4ccccc4)c23)c1,4.25
,CHEMBL1770475,RCJWOHKIDMXOTM-UHFFFAOYSA-N,CSCCC(NC(=O)c1ccccc1)c2nc3ccccc3n2Cc4ccc(cc4)C#N,4.24
,CHEMBL222659,RHLKIVUEHCVGSH-UHFFFAOYSA-N,O=C(Nc1ccccn1)c2ccc3[nH]c(nc3c2)c4ccc(NC(=O)C56CC7CC(CC(C7)C5)C6)cc4,4.24
,CHEMBL1539253,VDIRQCDDCGAGET-DHZHZOJOSA-N,Cc1ccnc(NCc2c(O)ccc3ccccc23)c1,4.24
,CHEMBL1770477,FXSOVNSBVDXYOV-HNNXBMFYSA-N,CCOc1ccc2oc(C(=O)NC(CCSC)c3nc4ncccc4[nH]3)c(C)c2c1,4.23
,CHEMBL1289682,MPUFYLGJTSPHOB-UHFFFAOYSA-N,Fc1ccc(C2CCN(CC2)C(=S)COCc3ccncc3)c(Cl)c1,4.23
,CHEMBL2062774,VAZAPHZUAVEOMC-UHFFFAOYSA-N,CCOc1noc2cc(OCCC3CCN(CC3)c4ccc(C)nn4)ccc12,4.23
,CHEMBL230641,UCTBRBDQLGKNHH-UHFFFAOYSA-N,CC(C)c1ccccc1Nc2nc(SCc3cccs3)n[nH]2,4.21
,CHEMBL383696,LKJPYSCBVHEWIU-KRWDZBQOSA-N,CC(C)CN1C(=O)N(C)C(=O)c2c(SC3CCCC3)c(Cc4ccccc4C(F)(F)F)sc12,4.21
,CHEMBL341226,KSYYFCDUINESKT-UHFFFAOYSA-N,COc1cccc(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1C,4.21
,CHEMBL100539,LQDVCPYRCOKNMV-UHFFFAOYSA-N,O=C(NCC12CC3CC(CC(C3)C1)C2)c4ccccc4,4.21
,CHEMBL1592130,MZKMKCXWIYNCQZ-UHFFFAOYSA-N,c1ccc(cc1)c2nnc(s2)c3ccccc3,4.2
,CHEMBL488881,UDMCXVWGJLMNDD-UHFFFAOYSA-N,O=C1C=C(Oc2c1cccc2c3cccc(c3)c4ccsc4)N5CCOCC5,4.2
,CHEMBL1762537,FZGVEKPRDOIXJY-UHFFFAOYSA-N,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCCC4)n1)c5cc(CO)ccc5C,4.2
,CHEMBL2164689,WZEUNGUUUBFSGF-QGZVFWFLSA-N,FC(F)(F)c1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,4.2
,CHEMBL419742,UYYKRBTVNGXKAC-UHFFFAOYSA-N,FC(F)(F)c1cc(COCC(N2CCNCC2)c3cccc(Cl)c3)cc(c1)C(F)(F)F,4.2
,CHEMBL2349335,HKQYGTCOTHHOMP-UHFFFAOYSA-N,CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc3nc(N)sc13,4.2
,CHEMBL2170837,DKGVOSFCHAMVHO-QZTJIDSGSA-N,CCn1c(C)c(C(=O)O)c(c2cccc(c2)N3CCN(CC3)c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(O)CC6)CSc7ccccc7)c(c5)S(=O)(=O)C(F)(F)F)cc4)c1c8ccc(Cl)cc8,4.2
,CHEMBL217620,UABIXNSHHIMZEP-UHFFFAOYSA-N,CC(C)N(C(C)C)C(=O)C(C(CNC(=O)NCc1ccccc1F)c2ccccc2)c3cccnc3,4.2
,CHEMBL1547746,QJKFBVZQCXPXEU-UHFFFAOYSA-N,CCn1c2ccccc2c3cc(NC(=O)C(C)C)ccc13,4.2
,CHEMBL134074,OWVIKBRKPCTDEP-UHFFFAOYSA-N,Cc1ccc2NC(=O)OC3(CCN(CCc4nc(oc4C)c5ccccc5)CC3)c2c1,4.2
,CHEMBL2349321,AQCHWTWZEMGIFD-UHFFFAOYSA-N,CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc3NC(=O)Sc13,4.2
,CHEMBL1809222,WCTPJCYSFNTVKJ-UHFFFAOYSA-N,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4cc(Cl)ccn34)N5CCN(CC5)C(=O)C,4.2
,CHEMBL2316381,MNKRJSJKVHUXIG-UHFFFAOYSA-N,FC(F)(F)CCS(=O)(=O)Oc1ccc(NC(=O)c2ccc(Cn3ccnn3)c4ccccc24)c(n1)C(=O)NCC5CCOCC5,4.2
,CHEMBL1343875,WOFXUCJTFGKKIF-UHFFFAOYSA-N,CC(C(=O)Nc1ccc(Cl)cc1)c2ncc(cc2Cl)C(F)(F)F,4.19
,CHEMBL44722,RAXPLTCGWAHZCE-UHFFFAOYSA-N,CC[C@H](NC(=O)c1c(CN(C)C)c(nc2ccccc12)c3ccccc3)c4ccccc4,4.18
,CHEMBL249790,YNFBMDWHEHETJW-UHFFFAOYSA-N,OCCO[C@H]1C[C@H]([C@H](O)[C@@H]1O)n2nnc3c(N[C@@H]4C[C@H]4c5ccc(F)c(F)c5)nc(SCCC(F)(F)F)nc23,4.17
,CHEMBL1086473,FJHBVJOVLFPMQE-QFIPXVFZSA-N,CCCCc1nc2c(N)nc3ccccc3c2n1Cc4ccccc4,4.17
,CHEMBL149979,KQDRVXQXKZXMHP-LLVKDONJSA-N,Nc1nc(nc2c1nc(O)n2Cc3ccccc3)c4ccccc4,4.16
,CHEMBL1716201,BMQHETMPEMRNER-UHFFFAOYSA-N,Cc1cc(NC(=O)Nc2ccc(Cl)cc2)n(n1)c3ccccc3,4.15
,CHEMBL405790,VHHGJSMODFCCFA-UHFFFAOYSA-N,Brc1ccccc1C(=O)NCC23CC4CC(CC(C4)C2)C3,4.15
Nitrendipine ,CAS39562-70-4,MREHKHMPXVGCAP-UHFFFAOYSA-N,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,4.15
,CHEMBL377309,NGLKSVAOSNSXCK-UHFFFAOYSA-N,CC(C)CN1C(=O)N(C)C(=O)c2c(SC3CCCCC3)c(Cc4ccccc4C(F)(F)F)sc12,4.14
,CHEMBL1829442,MALAKURYZJFBLT-UHFFFAOYSA-N,CCC(NC(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4ccccc4,4.14
,CHEMBL402507,KFHSDCXNOPXKDP-ZCFIWIBFSA-N,C[C@@H](Oc1cccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c12)C(=O)N5CCOCC5,4.14
,CHEMBL401193,NVOYJULYXVPERE-UHFFFAOYSA-N,CN(C)C(=O)CN1CCN(CCc2c([nH]c3sc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6)CC1,4.13
,CHEMBL419763,DPGSGMKMVPXXPU-FVQBIDKESA-N,Cc1ccc(NC(=O)CCC2CCCCC2)cc1NC(=O)c3ccc(O)cc3,4.13
,CHEMBL2207217,WIGIZIANZCJQQY-RUCARUNLSA-N,Brc1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCCNC(=O)c4cccs4,4.13
,CHEMBL2087861,CKDWXXGKUKOVBA-OAHLLOKOSA-N,CCN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cc(cn6C)C#N,4.13
,CHEMBL1458292,JYGXADMDTFJGBT-VWUMJDOOSA-N,CCCCCc1ccc(cc1)c2nnc(N)s2,4.13
,CHEMBL1302851,HOJQDOZZFDBKIS-UHFFFAOYSA-N,CC(C)(C)NC(=O)C(N(Cc1occc1)C(=O)c2ccc([nH]2)c3ccccc3)c4ccncc4,4.13
,CHEMBL81,PMZDQRJGMBOQBF-UHFFFAOYSA-N,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,4.13
,CHEMBL103771,UUPZYAHONNHULX-CJBSCAABSA-N,C\N=C(/S)\n1nc(nc1N)c2ccc(Cl)cc2,4.12
,CHEMBL1079324,UDYKRMHOQKAQNZ-UHFFFAOYSA-N,C[C@@H]1CN(C[C@H](C)O1)c2nc(N3CCOCC3)c4ccc(Nc5ccccc5)nc4n2,4.12
,CHEMBL496483,BSOHYTBASIBPHA-QHCPKHFHSA-N,Brc1cnc(NCc2ccccc2)nc1Nc3cc([nH]n3)C4CC4,4.11
,CHEMBL2110732,JBPUGFODGPKTDW-SFHVURJKSA-N,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN4CCCCC4,4.1
,CHEMBL1809228,JDUYTAACPJYAHK-UHFFFAOYSA-N,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccc(cn34)N(C)C)N5CCN(CC5)C(=O)C,4.1
,CHEMBL1081627,WZPXJWLXZKHFQW-UHFFFAOYSA-N,Oc1ccc(Nc2nc(cs2)c3ccc(cc3)C#N)cc1,4.1
,CHEMBL47875,SPHFEUCZJLRVNK-QZTJIDSGSA-N,Oc1ccc(cc1)c2nc3ccccc3s2,4.1
,CHEMBL306380,NCNCDRDHFQNSFX-UHFFFAOYSA-N,Cc1ccc(cc1)c2nn(c3ncnc(N)c23)C(C)(C)C,4.1
,CHEMBL162203,WKFOEHYWYDEVCS-UHFFFAOYSA-N,Cc1cccc(n1)c2nc3cc(Cl)ccc3[nH]2,4.1
,CHEMBL27364,BGDXMJHWJDPFBT-UHFFFAOYSA-N,O=C1N(Cc2ccccc12)C3CCN(CCC(c4ccccc4)c5ccccc5)CC3,4.1
,CHEMBL2164690,UFFMLXIMOZMLNJ-UHFFFAOYSA-N,CC(C)c1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,4.1
,CHEMBL2139925,LABRGLYROLKYDZ-IAGOWNOFSA-N,CCc1nc2ccc(cn2c1N(C)Cc3cccs3)C(=O)NCc4ccc5OCOc5c4,4.1
,CHEMBL305406,WCESRWVTCVMYMU-UHFFFAOYSA-N,Clc1cccc(Cl)c1\C(=C\n2cncn2)\OC3CCCCCC3,4.1
,CHEMBL198750,HMABYWSNWIZPAG-UHFFFAOYSA-N,O=C1C=C(Oc2c1cccc2c3cccc4c5CCCCc5sc34)N6CCOCC6,4.1
,CHEMBL2325984,FPOHNWQLNRZRFC-ZHACJKMWSA-N,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(c4ccccc4)c5ccc(Cl)cc5,4.1
,CHEMBL2325985,ZPUCINDJVBIVPJ-UHFFFAOYSA-N,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(Cc4ccccc4)c5ccc(Cl)cc5,4.1
,CHEMBL360106,DUMBOKZAFBZKLT-URXFXBBRSA-N,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)Cc4ccc(cc4)[N+](=O)[O-],4.1
,CHEMBL2088120,AYXKDCNGRBXXLP-FQEVSTJZSA-N,CC(C)CN1C(=O)N(C)C(=O)c2c1nn(Cc3cccc4ccccc34)c2c5cncn5C,4.1
,CHEMBL512901,XZXNGXVYYURRHN-CMSQDFSHSA-N,CCCc1nc2c(N)nc3ccccc3c2s1,4.09
,CHEMBL250389,WRQCVLFZYUVEBT-NRFANRHFSA-N,COC1CCN(CC1)C(=O)C2CCN(CCc3c([nH]c4sc(cc34)C(C)(C)C(=O)N5C6CCC5CC6)c7cc(C)cc(C)c7)CC2,4.09
,CHEMBL954,ZKSDUCXACMZPEQ-QZTJIDSGSA-N,CCN(CC)CCOc1ccc(cc1)\C(=C(\Cl)/c2ccccc2)\c3ccccc3,4.09
,CHEMBL1209583,DNEDPPSLQNDMAL-UHFFFAOYSA-N,FC(F)(F)Oc1ccccc1S(=O)(=O)NCC(N2CCCCCC2)c3ccccc3,4.09
,CHEMBL205465,BDSHHQZMJSYVRC-UHFFFAOYSA-N,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccccc3C(F)(F)F)c2C(=O)N4CCCCC4,4.07
,CHEMBL165790,KAKJJTGEJYQYHN-MUUNZHRXSA-N,CC(C)Oc1ccc2C(=O)C(=COc2c1)c3ccccc3,4.07
,CHEMBL2023481,BNYVDZKAMFHMIE-UHFFFAOYSA-N,COc1cc(Oc2ccnc3ccc(F)cc23)ccc1CC(=O)Nc4noc(C)c4C,4.06
,CHEMBL578061,MXQGCMQXTPTJJT-UHFFFAOYSA-N,N(c1ccccc1)c2ccnc(Nc3ccccc3)n2,4.06
,CHEMBL249584,ZFJQWOMHWFYLPD-UHFFFAOYSA-N,OC[C@H]1C[C@H]([C@H](O)[C@@H]1O)n2nnc3c(N[C@@H]4C[C@H]4c5ccccc5)nc(SCCC(F)(F)F)nc23,4.06
,CHEMBL2036760,AMBNSCOYCMLIBF-CHWSQXEVSA-N,FC(F)(F)c1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C3)C4CC4)CC2)cc1Cl,4.06
,CHEMBL516441,IXOGWBZUTOHTBT-UHFFFAOYSA-N,CC[C@H](NC(=O)c1c(N)c(nc2ccccc12)c3cccc(F)c3)c4ccccc4,4.05
,CHEMBL1770298,OETCLXZXWZTAOY-FSIGGGPRSA-N,Cc1ccc(s1)C(NC(=O)c2ccccc2O)C(=O)Nc3c(C)cccc3C,4.05
,CHEMBL204887,OCAIUSXYDOHYOK-UHFFFAOYSA-N,CC(C)CN1C(=O)N(C)C(=O)c2c(SCCCO)c(Cc3ccccc3C(F)(F)F)sc12,4.05
,CHEMBL1595582,QBZHGWVJIIGZNU-UHFFFAOYSA-N,COc1ccc(Cl)cc1C(=O)Nc2nc3ccccc3[nH]2,4.05
,CHEMBL336619,HYYBABOKPJLUIN-UHFFFAOYSA-N,Clc1ccccc1C(=O)NCC23CC4CC(CC(C4)C2)C3,4.05
,CHEMBL219445,QHLOERMHEQAPEA-SFHVURJKSA-N,COc1cc2ncnc(N3CC[C@H](C3)Oc4cnc5ccccc5n4)c2cc1OC,4.04
,CHEMBL1536083,ZEZQMOYXCIVDNR-UHFFFAOYSA-N,CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c2ccc(Cl)cc2,4.03
,CHEMBL492112,XLRFNVGYXCZQNE-UHFFFAOYSA-N,O=C(CC12CC3CC(CC(C3)C1)C2)Nc4ccc5[nH]ncc5c4,4.03
,CHEMBL1430654,FNYTYGMKXFYOIH-UHFFFAOYSA-N,O=C(Nc1cccc(NC(=O)c2ccccc2)n1)c3ccccc3,4.02
,CHEMBL2087853,NDORSVMGFMNKSU-UHFFFAOYSA-N,CC(C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cncn6C)c3C1=O,4.02
,CHEMBL2216839,YLGHTWPQHBGBJX-UHFFFAOYSA-N,C[C@@H]1CN(Cc2oc(nn2)c3cc(cc4[nH]ncc34)c5cccc6[nH]ccc56)C[C@H](C)O1,4.01
,CHEMBL2163589,XUGPSRPVEIUUDA-UHFFFAOYSA-N,FC(F)(F)Oc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,4.01
Estradiol,CAS50-28-2,QIVBCDIJIAJPQS-VIFPVBQESA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,4.01
,CHEMBL1809049,ORQJJWYENVQNLT-UHFFFAOYSA-N,COc1cc(OC2CCN(CC2)C(=O)C)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,4
,CHEMBL250961,FHHCKYIBYRNHOZ-UHFFFAOYSA-N,Cc1ccc(F)cc1S(=O)(=O)N[C@@H]2CCN(Cc3ccc(cc3)c4ccccc4)C2,4
,CHEMBL180184,LBGUVZFJZLPGDV-UHFFFAOYSA-N,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4ccccc4,4
,CHEMBL191974,OBXGFAOTEHBATK-UHFFFAOYSA-N,Oc1ccc(cc1)c2ccc3cc(O)ccc3c2,4
,CHEMBL182731,BTBHLEZXCOBLCY-QGZVFWFLSA-N,COC(=O)c1ccc(CC(=O)N(C)C2CCN(CCC(c3ccccc3)c4ccccc4)CC2)cc1,4
,CHEMBL1526499,SDYJEUJNTJEGGY-HNNXBMFYSA-N,Clc1ccc(cc1)c2cn3ccccc3n2,4
,CHEMBL602745,ZCHBUYAQIKDSED-UHFFFAOYSA-N,CS(=O)(=O)N1CC[C@@H](C1)N(Cc2ccccc2Cl)c3ccc(C#N)c(Cl)c3,4
,CHEMBL2207805,ONHAZCJPHPIFHW-ZDUSSCGKSA-N,O=C(NCc1occc1)c2ccc3[nH]c(COc4ccc(cc4)C56CC7CC(CC(C7)C5)C6)nc3c2,4
,CHEMBL89786,HZLLPPSEGLYDSB-IBGZPJMESA-N,c1ccc(cc1)c2ccc3ccccc3n2,4
,CHEMBL223402,BRQZHMHHZLRXOO-UHFFFAOYSA-N,Fc1ccccc1NC(=O)N[C@H]2N=C(c3ccccc3)c4ccccc4NC2=O,4
,CHEMBL350563,VLPIATFUUWWMKC-SNVBAGLBSA-N,CCO\N=C(\C1CCN(CC1)C2(C)CCN(CC2)C(=O)c3c(Cl)cncc3Cl)/c4ccc(Br)cc4,4
,CHEMBL1257599,WJHDCBQZDWBYKV-HNNXBMFYSA-N,CNc1ncnc2c(CNc3cc(NC(=O)c4ccc5OCCOc5c4)ccc3C)cccc12,4
